Title,Description
activate_dc_relay," LLR-tbd The function ast_qspi_hvm_run() shall update the hvTerminalVoltage by calling readHVTerminalVoltage(). ,LLR-tbd The function shall update the dcLinkVoltage by calling readDCLinkVoltage().  ,Init to Startup,Startup to SafetyTest,SafetyTest to Operation,Operation to Cyclic Test,Cyclic Test to Operation,Any State to Shutoff,Transition from one of the Init, Startup, Safety Test, Operation to Deactivation,Deactivation to Deactivation failed,Deactivation to Failsafe,Cyclic Test to Init  "
activate_dc_relay()," LLR-tbd The function ast_qspi_hvm_run() shall update the hvTerminalVoltage by calling readHVTerminalVoltage(). ,LLR-tbd The function shall update the dcLinkVoltage by calling readDCLinkVoltage().  ,Init to Startup,Startup to SafetyTest,SafetyTest to Operation,Operation to Cyclic Test,Cyclic Test to Operation,Any State to Shutoff,Transition from one of the Init, Startup, Safety Test, Operation to Deactivation,Deactivation to Deactivation failed,Deactivation to Failsafe,Cyclic Test to Init  "
appl_state_run," LLR-tbd The function ast_qspi_hvm_run() shall update the hvTerminalVoltage by calling readHVTerminalVoltage(). ,LLR-tbd The function shall update the dcLinkVoltage by calling readDCLinkVoltage().  ,Init to Startup,Startup to SafetyTest,SafetyTest to Operation,Operation to Cyclic Test,Cyclic Test to Operation,Any State to Shutoff,Transition from one of the Init, Startup, Safety Test, Operation to Deactivation,Deactivation to Deactivation failed,Deactivation to Failsafe,Cyclic Test to Init  "
appl_state_run()," LLR-tbd The function ast_qspi_hvm_run() shall update the hvTerminalVoltage by calling readHVTerminalVoltage(). ,LLR-tbd The function shall update the dcLinkVoltage by calling readDCLinkVoltage().  ,Init to Startup,Startup to SafetyTest,SafetyTest to Operation,Operation to Cyclic Test,Cyclic Test to Operation,Any State to Shutoff,Transition from one of the Init, Startup, Safety Test, Operation to Deactivation,Deactivation to Deactivation failed,Deactivation to Failsafe,Cyclic Test to Init  "
ast_dcrelay_run," LLR-tbd The function ast_qspi_hvm_run() shall update the hvTerminalVoltage by calling readHVTerminalVoltage(). ,LLR-tbd The function shall update the dcLinkVoltage by calling readDCLinkVoltage().  ,initialise the dma module by calling init_dma_module(),initialise the SCU by calling ast_scu_init if Resolver PGA411 initialised,Initialise the following DMA Channels by calling init_dma_channel_config() with the following settings  "
ast_dcrelay_run()," LLR-tbd The function ast_qspi_hvm_run() shall update the hvTerminalVoltage by calling readHVTerminalVoltage(). ,LLR-tbd The function shall update the dcLinkVoltage by calling readDCLinkVoltage().  ,initialise the dma module by calling init_dma_module(),initialise the SCU by calling ast_scu_init if Resolver PGA411 initialised,Initialise the following DMA Channels by calling init_dma_channel_config() with the following settings  "
ast_dma_init," LLR-tbd The function ast_qspi_hvm_run() shall update the hvTerminalVoltage by calling readHVTerminalVoltage(). ,LLR-tbd The function shall update the dcLinkVoltage by calling readDCLinkVoltage().  ,initialise the dma module by calling init_dma_module(),initialise the SCU by calling ast_scu_init if Resolver PGA411 initialised,Initialise the following DMA Channels by calling init_dma_channel_config() with the following settings  "
init_dma_module()," LLR-tbd The function ast_qspi_hvm_run() shall update the hvTerminalVoltage by calling readHVTerminalVoltage(). ,LLR-tbd The function shall update the dcLinkVoltage by calling readDCLinkVoltage().  ,initialise the dma module by calling init_dma_module(),initialise the SCU by calling ast_scu_init if Resolver PGA411 initialised,Initialise the following DMA Channels by calling init_dma_channel_config() with the following settings  "
init_dma_module()," LLR-tbd The function ast_qspi_hvm_run() shall update the hvTerminalVoltage by calling readHVTerminalVoltage(). ,LLR-tbd The function shall update the dcLinkVoltage by calling readDCLinkVoltage().  ,initialise the SCU by calling ast_scu_init if Resolver PGA411 initialised,Initialise the following DMA Channels by calling init_dma_channel_config() with the following settings  "
init_dma_channel_config()," LLR-tbd The function ast_qspi_hvm_run() shall update the hvTerminalVoltage by calling readHVTerminalVoltage(). ,LLR-tbd The function shall update the dcLinkVoltage by calling readDCLinkVoltage().  ,initialize QSPI Master module config by calling IfxQspi_SpiMaster_initModuleConfig(),set the maximum baudrate,configure RxFIFO mode in Batch move,update pin configuration,initialize QSPI master module by calling customized function ast_IfxQspi_SpiMaster_initModule(),create channel config by calling IfxQspi_SpiMaster_initChannelConfig(),update SLS output configuration,initialize channel config by calling customized function ast_IfxQspi_SpiMaster_initChannel()  "
ast_hvm_QspiMasterInit," LLR-tbd The function ast_qspi_hvm_run() shall update the hvTerminalVoltage by calling readHVTerminalVoltage(). ,LLR-tbd The function shall update the dcLinkVoltage by calling readDCLinkVoltage().  ,initialize QSPI Master module config by calling IfxQspi_SpiMaster_initModuleConfig(),set the maximum baudrate,configure RxFIFO mode in Batch move,update pin configuration,initialize QSPI master module by calling customized function ast_IfxQspi_SpiMaster_initModule(),create channel config by calling IfxQspi_SpiMaster_initChannelConfig(),update SLS output configuration,initialize channel config by calling customized function ast_IfxQspi_SpiMaster_initChannel()  "
